title,vote_average,vote_count,overview
Grand Theft Auto: Vice City,9.3,12,"Meek, owlish Felix (George Segal) and strident, catty Doris (Barbra Streisand) live in the same apartment building. His incessant typing bothers her; her gentlemen callers bother him. Felix informs the landlord of her activities, so Doris moves in on Felix. When they both get thrown out, they move in with Barney (Robert Klein) . . . until they drive him out! That's when Felix and Doris finally decide to put theory into practice. But do opposites attract?"
The Lord of the Rings: The Two Towers,7.5,3403,"At a tiny Parisian café, the adorable yet painfully shy Amélie (Audrey Tautou) accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?"
Lemonade Tycoon,9.5,444,"On a bet, a gridiron hero at John Hughes High School sets out to turn a bespectacled plain Jane into a beautiful and popular prom queen in this outrageous send-up of the teen movie genre."
Charisma Lee,6,1100,"David Aames (Tom Cruise) has it all: wealth, good looks and gorgeous women on his arm. But just as he begins falling for the warmhearted Sofia (Penelope Cruz), his face is horribly disfigured in a car accident. That's just the beginning of his troubles as the lines between illusion and reality, between life and death, are blurred."
Rise of Nations,8.2,48,"True story of the lifelong romance between novelist Iris Murdoch and her husband John Bayley, from their student days through her battle with Alzheimer's disease."
Tom Clancy's Splinter Cell,9,21,"After an Afghanistan-born woman who lives in Canada receives a letter from her suicidal sister, she takes a perilous journey through Afghanistan to try to find her."
Enter the Matrix,6.6,53,"Plagued with grief over the murder of her daughter, Valerie Somers suspects that her husband John is cheating on her. When Valerie disappears, Detective Leon Zat attempts to solve the mystery of her absence. A complex web of love, sex and deceit emerges -- drawing in four related couples whose various partners are distrustful and suspicious about each other's involvement."
WTA Tour Tennis,4,1317,An estranged family of former child prodigies reunites when their father announces he has a terminal illness.
Pirates of the Caribbean: The Curse of the Black Pearl,5.5,311,"Amiable slackers Bill and Ted are once again roped into a fantastical adventure when De Nomolos, a villain from the future, sends evil robot duplicates of the two lads to terminate and replace them. The robot doubles actually succeed in killing Bill and Ted, but the two are determined to escape the afterlife, challenging the Grim Reaper to a series of games in order to return to the land of the living."
Hitman 2: Silent Assassin,8.4,59,An uncompromising British school headmaster finds himself beset by one thing going wrong after another.
Mace Griffin: Bounty Hunter,6.3,23,Alien creatures invade a remote mountain resort in Switzerland.
Midtown Madness 3,8.7,18,A man who was a confidant of Adolf Hitler dies and leaves a fortune to make amends for his Nazi past--but his son has to search the world to find it
Dragon Ball Z: The Legacy of Goku II,8,9,"Morgan, an aggressive and self-admitted dreamer, a fantasist who uses his flights of fancy as refuge from external reality, where his unconventional behavior lands him in a divorce from his wife, Leonie, trouble with the police and, ultimately, incarceration in a lunatic asylum."
Resident Evil: Dead Aim,6.9,22,"Sheena's white parents are killed while on Safari. She is raised by the mystical witch woman of an African tribe. When her foster mother is framed for the murder of a political leader, Sheena and a newsman, Vic Casey are forced to flee while pursued by the mercenaries hired by the real killer, who hopes to assume power. Sheena's ability to talk to the animals and knowledge of jungle lore give them a chance against the high tech weapons of the mercenaries."
Evil Dead: A Fistful of Boomstick,6.4,22,"A Texas sheriff tries kung fu on an ax killer who, revived by doctors, cannot be killed."
Neverwinter Nights: Shadows of Undrentide,7.7,37,"Three women makes an emergency landing on a planet plagued with a fatal disease, but are captured by dictator Overdog. Adventurer Wolff goes there to rescue them and meets Niki, the only Earthling left from a medical expedition. Combining their talents, they try to rescue the women."
Mace Griffin: Bounty Hunter,6.3,28,"An experienced guide (Vic) accompanies a city boy (Alan) and his three friends on their first wilderness experience. Hoping to teach the four boys lessons not only about the wilderness, but about themselves, Vic pushes them to the limit. Soon after alienating the boys, Vic finds himself in desperate need of help and must rely on his students in order to survive."
Moon Patrol,8,230,"Multi-platinum rap superstars Redman and Method Man star as Jamal and Silas, two regular guys who smoke something magical, ace their college entrance exams and wind up at Harvard. Ivy League ways are strange but Silas and Jamal take it in a stride -- until their supply of supernatural smoke runs dry. That's when they have to start living by their wits and rely on their natural resources to make the grade."
Squareville Wasabi,6.5,235,"Jimmy Neutron is a boy genius and way ahead of his friends, but when it comes to being cool, he's a little behind. All until one day when his parents, and parents all over Earth are kidnapped by aliens, it's up to him to lead all the children of the world to rescue their parents."
Empire of Magic,5,40,"When underappreciated video specialist Joe Scheffer is brutally humiliated by the office bully Mark McKinney in front of his daughter, Joe begins a quest for personal redemption. He proceeds by enduring a personal make-over and takes martial arts lessons from a B-action star. As news spreads of his rematch with Mark, Joe suddenly finds himself the center of attention, ascending the corporate ladder and growing in popularity. He's determined to show everyone in his life that he is not a nobody, but a force to be reckoned with."
Mega Man Network Transmission,6.7,430,"When her scientist ex-boyfriend discovers a portal to travel through time -- and brings back a 19th-century nobleman named Leopold to prove it -- a skeptical Kate reluctantly takes responsibility for showing Leopold the 21st century. The more time Kate spends with Leopold, the harder she falls for him. But if he doesn't return to his own time, his absence will forever alter history."
Midnight Club II,8.8,8892,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed."
Wakeboarding Unleashed Featuring Shaun Murray,8.6,193,"Set in 1951, a blacklisted Hollywood writer gets into a car accident, loses his memory and settles down in a small town where he is mistaken for a long-lost son."
Wakeboarding Unleashed Featuring Shaun Murray,8.4,3087,"At Princeton University, John Nash struggles to make a worthwhile contribution to serve as his legacy to the world of mathematics. He finally makes a revolutionary breakthrough that will eventually earn him the Nobel Prize. After graduate school he turns to teaching, becoming romantically involved with his student Alicia. Meanwhile the government asks his help with breaking Soviet codes, which soon gets him involved in a terrifying conspiracy plot. Nash grows more and more paranoid until a discovery that turns his entire world upside down. Now it is only with Alicia's help that he will be able to recover his mental strength and regain his status as the great mathematician we know him as today.."
Chessmaster,8.5,33,"When a childless couple learn that they cannot have children, it causes great distress. To ease his wife's pain, the man finds a piece of root in the backyard and chops it and varnishes it into the shape of a child. However the woman takes the root as her baby and starts to pretend that it is real."
Freestyle Metal X,7.6,14,A group of college students break into an abandoned convent and become possessed by demonic spirits.
Big Mutha Truckers,6.3,49,"Two convicts, a white racist and an angry black, escape while chained to each other."
Summer Heat Beach Volleyball,6.4,27,"An adaptation of Sinclair Lewis' novel about a middle-aged American automobile tycoon who retires and goes to Europe, where he and his appearance-conscious, snobbish wife find differing sets of values... and new relationships."
Big Mutha Truckers,6.3,14,John Cassellis is the toughtest TV-news-reporter around. He becomes an expert in reporting about violence in the ghetto and racial tensions. But he discovers that his network helps the FBI by letting them look at his tapes to find suspects. When he protests he is fired and goes to the 1968 Democratic National Convention in Chicago.
The Elder Scrolls III: Bloodmoon,8.9,29,"Sergeant Joe Gunn and his tank crew pick up five British soldiers, a Frenchman and a Sudanese man with an Italian prisoner crossing the Libyan Desert to rejoin their command after the fall of Tobruk. Tambul, the Sudanese leads them to an abandoned desert fortress where they hope to find water. Soon a detachment of German soldiers arrives and attempts to barter food for water, but Gunn and his followers refuse. When the Germans attack, Gunn leads his desert-weary men in a desperate battle, hoping that British reinforcements can arrive in time."
Jewels and Jim,7,52,A hypocritical swinging college student cat raises hell in a satiric vision of various elements on the 1960's.
Port Royale,8.4,19,"Fritz, now married and with a son, is desperate to escape from the domestic hell he now finds himself in. Lighting up a joint, he begins to dream about his eight other lives, hoping to find one that will provide a pleasant distraction."
Rock 'n Roll Racing,8.5,160,"Hrundi V. Bakshi, an accident-prone actor from India, is accidentally put the name on the guest list for an upcoming party at the home of a Hollywood film director. Unfortunately, from the moment he arrives, one thing after another goes wrong with a compounding affect."
MotoGP 2,8.4,29,"It's the off-season at the lonely Beauregard Hotel in Bournemoth, and only the long-term tenants are still in residence. Life at the Beauregard is stirred up, however, when the beautiful Ann Shankland arrives to see her alcoholic ex-husband, John Malcolm, who is secretly engaged to Pat Cooper, the woman who runs the hotel. Meanwhile, snobbish Mrs Railton-Bell discovers that the kindly if rather doddering Major Pollock is not what he appears to be. The news is particularly shocking for her frail daughter, Sibyl, who is secretly in love with the Major."
MAGIX Music Maker,7.9,11,"A recently married scholar goes on a quest for knowledge of other people's wives, based on his philosophical differences with the Sack Monk. He encounters the Flying Thief, who agrees to help him find women, but only if he attains a penis as big as a horse's. The scholar has a surgeon attach said unit, and he's off and running on his mission, only to find that there are obstacles to his new lifestyle, such as jealous husbands and treacherous females."
Unlimited SaGa,6.6,35,Arthur Simon Simpson is a small-time crook biding his time in Greece. One of his potential victims turns out to be a gentleman thief planning to steal the emerald-encrusted dagger of the Mehmed II from Istanbul's Topkapi Museum.
Medieval: Total War -- Viking Invasion,8.6,278,"When Leonard Vole is arrested for the sensational murder of a rich, middle-aged widow, the famous Sir Wilfrid Robarts agrees to appear on his behalf. Sir Wilfrid, recovering from a near-fatal heart attack, is supposed to be on a diet of bland, civil suits – but the lure of the criminal courts is too much for him, especially when the case is so difficult."
Ultimate Muscle: Path of the Super Hero,7.5,457,"In 1964, a brash new pro boxer, fresh from his olympic gold medal victory, explodes on to the scene; Cassius Clay. Bold and outspoken, he cuts an entirely new image for African Americans in sport with his proud public self confidence and his unapologetic belief that he is the greatest boxer of all time. Yet at the top of his game, both Ali's personal and professional lives face the ultimate test."
Return to Castle Wolfenstein: Enemy Territory,8.5,1832,"When U.S. Rangers and an elite Delta Force team attempt to kidnap two underlings of a Somali warlord, their Black Hawk helicopters are shot down, and the Americans suffer heavy casualties, facing intense fighting from the militia on the ground."
Crazy Racer,4.5,31,"This is a drama set in Nazi-occupied France at the height of World War II. Charlotte Gray tells the compelling story of a young Scottish woman working with the French Resistance in the hope of rescuing her lover, a missing RAF pilot. Based on the best-selling novel by Sebastian Faulks."
Iridion II,8,51,A Jewish girl disguises herself as a boy to enter religious training.
Dig It,7,256,"Multiple storylined drama set in 1932, showing the lives of upstairs guest and downstairs servants at a party in a country house in England."
Skirt Fighter,5.5,542,"Sam has the mental capacity of a 7-year-old. He has a daughter with a homeless woman who abandons them when they leave the hospital, leaving Sam to raise Lucy on his own. But as Lucy grows up, Sam's limitations start to become a problem and the authorities take her away. Sam shames high-priced lawyer Rita into taking his case pro bono and in turn teaches her the value of love and family."
MotoGP 2,8.8,254,"Set in the southern USA, a racist white man, Hank, falls in love with a black woman named Leticia. Ironically, Hank is a prison guard working on Death Row who executed Leticia's husband. Hank and Leticia's inter-racial affair leads to confusion and new ideas for the two unlikely lovers."
F1 Career Challenge,7.4,112,An emotionally-beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.
Space Channel 5: Ulala's Cosmic Attack,5,111,"Dave Bannion is an upright cop on the trail of a vicious gang he suspects holds power over the police force. Bannion is tipped off after a colleague's suicide and his fellow officers' suspicious silence lead him to believe that they are on the gangsters' payroll. When a bomb meant for him kills his wife instead, Bannion becomes a furious force of vengeance and justice, aided along the way by the gangster's spurned girlfriend Debbie. As Bannion and Debbie fall further and further into the Gangland's insidious and brutal trap, they must use any means necessary (including murder) to get to the truth."
Magic Pengel: The Quest for Color,8.5,13,"A ten year old boy gets tired of life with abusive parents and cashes in his piggy bank and steals a Mustang. He rides off into a surreal America playing ""Motorama,"" a game sponsored by Chimera Gas Company. He has various encounters with different people, and eventually reaches the Chimera Gas Company where he finds they are not playing by the rules of the game."
Will Rock,7.2,6,"A devilish Southern woman, married to a man who despises her, manages to manipulate those around her under the guise of being kind. But, when her sister-in-law is engaged to be married to the woman's former lover and her husband starts up an affair with her cousin, visting from New York, things start to go awry and she sets a plan to destroy it all."
Mega Man Battle Network 3 White Version,7.9,22,"Waxman is a former Special Forces soldier who is now working as a heavily armed assassin for a top secret government agency. When a covert mission goes terribly wrong, Waxman and fellow assassin Clegg become that agency's prime targets."
Mega Man Battle Network 3 Blue Version,7.9,187,"Lionel Twain invites the world's five greatest detectives to a 'dinner and murder'. Included are a blind butler, a deaf-mute maid, screams, spinning rooms, secret passages, false identities and more plot turns and twists than are decently allowed."
Wing Commander: Prophecy,7,48,"A decadent London aristocrat hires a man-servant to attend to his needs. However, the balance of power starts to shift..."
Donkey Kong Country,8,6,"An oft overlooked film about struggling to deal with paralysis. Author Joel Garcia breaks his neck while hiking, and finds himself in a rehab center with Raymond, an exaggerating ladies man, and Bloss, a racist biker. Considerable tension builds as each character tries to deal with his new found handicap and the problems that go with it, especially Joel, whose lover Anna is having as difficult a time as he is"
PlanetSide,7.7,24,"Story of two gorgeous, young French boys who begin a passionate relationship that boils over and threatens to destroy both their lives. Shy Mathieu is 18-years-old and on summer vacation in the south of France. He spends his days lazily sunning himself at the beach, until he spies the handsome Cédric and falls in love. The film, like a dream, flows back and forth between the past and present, often asking us to fill the deliberate jumps in time."
The Sims: Superstar,8.3,134,Shaun Brumder is a local surfer kid from Orange County who dreams of going to Stanford to become a writer and to get away from his disfunctional family household. Except Shaun runs into one complication after another starting when his application is rejected after his dim-witted guidance counselor sends the wrong application.
Ultimate Muscle: Legends vs. New Generation,7.8,404,"In 18th century France, the Chevalier de Fronsac and his native American friend Mani are sent by the King to the Gevaudan province to investigate the killings of hundreds by a mysterious beast."
Age of Wonders: Shadow Magic,8.5,205,"For the past four years, San Francisco cop Jack Cates has been after an unidentified drug kingpin who calls himself the ""Ice Man"". Jack finds a picture that proves that the Ice Man has put a price on the head of Reggie Hammond, who is scheduled to be released from prison on the next day."
Microsoft Flight Simulator 2004: A Century of Flight,9,21,"When a young street vendor with a grim home life meets a woman on her way to Paris, they forge an instant connection. He changes all the clocks in Taipei to French time."
Mojo!,6.9,19,"Detective Kyle Bodine falls for Rachel Munro who is trapped in a violent marriage. After shooting her husband, Kyle relucantly agrees to help hide the body, but Kyle's partner is showing an unusual flair for finding clues."
Mario Golf: Toadstool Tour,8,2,"In pre-WWII Australia, a love triangle develops between a man, his wife and the man's brother."
Rally Championship [2002],7,5,"Ivan Bibic returns to his Pittsburgh PA suburb after surviving a Japanse POW camp, causing regular nightmares. All the time he remained faithfully devoted to his childhood love, fellow ethnic Yugoslavian virgin Maria Bosic. She dates him again, thus ruining a virtual engagement to captain Al Griselli. Against Ivan's dad's advice, they get married. But Ivan became psychologically impotent, feels unworthy of her and starts wondering, even looking for another girl. Meanwhile slick guitar-and-song-busker Clarence Butts moves in to South-Western PA, and seduces Maria."
Combat Mission: Beyond Overlord (Special Edition),9,4,Jason Carmichael is a popular New York City playwright in desperate need of a new writing partner who can provide him with inspiration. Phoebe Craddock is a small-town teacher who aspires to be a writer.
Bruce Lee: Return of the Legend,8.4,54,An expatriate British publisher unexpectedly finds himself working for British intelligence to investigate people in Russia.
RollerCoaster Tycoon 2: Wacky Worlds,5.5,14,"Nina is totally heartbroken at the death of her boyfriend Jamie, but is even more unprepared for his return as a ghost. At first it's almost as good as it used to be - hey, even the rats that infested her house have disappeared. But Jamie starts bringing ghostly friends home and behaving more and more oddly."
The Incredible Hulk [2003],6,13,"The Earnshaws are Yorkshire farmers during the early 19th Century. One day, Mr. Earnshaw returns from a trip to the city, bringing with him a ragged little boy called Heathcliff. Earnshaw's son, Hindley, resents the child, but Heathcliff becomes companion and soulmate to Hindley's sister, Catherine. After her parents die, Cathy and Heathcliff grow up wild and free on the Moors and despite the continued enmity between Hindley and Heathcliff they're happy-- until Cathy meets Edgar Linton, the son of a wealthy neighbor. Written by Marg Baskin"
Speed Kings,5.5,24,Misadventures of four groups of guests at the Beverly Hills Hotel.
IndyCar Series,8.5,10,"The life story of a salt-of-the-earth Irish immigrant, who becomes an Army Noncommissioned Officer and spends his 50 year career at the United States Military Academy at West Point. This includes his job-related experiences as well as his family life and the relationships he develops with young cadets with whom he befriends. Based on the life of a real person."
The Italian Job,6.8,20,"The realm of magic is being threatened by the realm of logic, so Carolinus, the green wizard decides to shield it for all time. Ommedon, the evil red wizard, stands in his way. Carolinus then calls for a quest that is to be led by a man named Peter Dickinson, who is the first man of both the realms of science and magic. It is Peters job to defeat Ommedon."
Star Trek: Elite Force II,8.4,69,The sorcerer and his apprentice Galen are on a mission to kill an evil dragon in order to save the King’s daughter from being sacrificed in accordance to a pact that the King himself made with the dragon to protect his kingdom. A fantasy film from Disney Studios that exhausted all possible visual effects of the time.
SX Superstar,3.6,391,"Based on a character created by Robert E. Howard, this fast-paced, occasionally humorous sequel to Conan the Barbarian features the hero (Arnold Schwarzenegger) as he is commissioned by the evil queen Taramis (Sarah Douglas) to safely escort a teen princess (Olivia D'Abo) and her powerful bodyguard (Wilt Chamberlain) to a far away castle to retrieve the magic Horn of Dagon. Unknown to Conan, the queen plans to sacrifice the princess when she returns and inherit her kingdom after the bodyguard kills Conan. The queen's plans fail to take into consideration Conan's strength and cunning and the abilities of his sidekicks: the eccentric wizard Akiro (Mako), the wild woman Zula (Grace Jones), and the inept Malak (Tracey Walter). Together the hero and his allies must defeat both mortal and supernatural foes in this voyage to sword-and-sorcery land."
The Italian Job,6.8,37,"In this animated tale, a tiny village is destroyed by a surging glacier, which serves as the deadly domain for the evil Ice Lord, Nekron. The only survivor is a young warrior, Larn, who vows to avenge this act of destruction. The evil continues, however, as Nekron's palace of ice heads straight towards Fire Keep, the great fortress ruled by the good King Jarol. When Jarol's beautiful daughter, Teegra, is abducted by Nekron's sub-human ape-like creatures, Larn begins a daring search for her. What results is a tense battle between good and evil, surrounded by the mystical elements of the ancient past."
Arc the Lad: Twilight of the Spirits,8.2,30,"A mysterious door in the basement of the Hercules house leads to the Sixth Dimension by way of a gigantic set of intestine. When Frenchy slips through the door, King Fausto falls in love with her. The jealous Queen Doris takes Frenchy prisoner, and it is up to the Hercules family and friend Squeezit Henderson to rescue her."
Tomb Raider: The Angel of Darkness,5.3,9,"A detective uncovers a formula that was devised by the Nazis in WW II to make gasoline from synthetic products, thereby eliminating the necessity for oil--and oil companies. A major oil company finds out about it and tries to destroy the formula and anyone who knows about it."
EVE Online,8,23,"A group of friends come of age in the asphalt desert of the San Fernando Valley set to a blazing soundtrack and endless drinking, drugs and sex."
The Simpsons Road Rage,7.5,16,"Galaxina is a lifelike, voluptuous android who is assigned to oversee the operations of an intergalactic Space Police cruiser captained by incompetent Cornelius Butt. When a mission requires the ship's crew to be placed in suspended animation for decades, Galaxina finds herself alone for many years, developing emotions and falling in love with the ship's pilot, Thor."
Disciples II: Guardians of the Light,7,136,"Gary Sinise plays Spencer Olham, a top-secret government weapons designer who is arrested by a clandestine government organization on suspicion of being a clone created by the hostile alien race wanting to take over Earth."
Adios Amoebas,5.5,161,"A movie within a movie, created to spoof the martial arts genre. Writer/director Steve Oedekerk uses contemporary characters and splices them into a 1970s kung-fu film, weaving the new and old together.
 As the main character, The Chosen One, Oedekerk sets off to avenge the deaths of his parents at the hands of kung-fu legend Master Pain. Along the way, he encounters some strange characters"
Knuckle-Up!,7,190,"When a Miami dentist inherits a team of sled dogs, he's got to learn the trade or lose his pack to a crusty mountain man."
FOX Sports On-Field Live Football,8,364,"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer."
Shrek Super Party,3.8,1,"A portrait of a single day in the late summer of 1956, toward the end of Bertolt Brecht's life, as he prepares to leave his lakeside home, surrounded by the women who form his extended family."
Star Wars Knights of the Old Republic,9.5,33,"This fifth Danish Dogme film is about six vulnerable individuals whose lives are interwoven. In a city suburb, a young minister arrives to take up duties at a local church. He is persuaded by his assistant to join an Italian night school class, and he soon becomes the centre of a group of people to whom fate has dealt quite serious blows. Gradually each one in the group manages to overcome his/her predicament and find a happy solution. This Dogma production was shown at the Berlinale in 2001 where it surprisingly won a silver medal."
F1 Challenge '99-'02,9.5,2,"Is today's fanaticism tomorrow's policy? In a West Bank settlement, Rabbi Meltzer has a grand design: he's building a movement ""to pray at the Temple Mount."" His yeshiva has scholars, and the settlement is getting its own military company to be commanded by Menachem, a disciple of the rabbi. He also wants his daughter, Michal, to marry Pini, the yeshiva's best scholar. Michal has no interest in Pini, but she is attracted to Menachem. When she rebuffs Pini, he hatches a bold and secret plan. Is jealousy the motivation or something else? Meanwhile, the army and Moussad are closely watching the rabbi's activities and Menachem's military training. Who is trustworthy?"
Perfect Ace: Pro Tournament Tennis,4.1,42,"Darryl is a childlike man with a genius for inventing various gadgets out of junk. When he stumbles on a method to make his clothes bulletproof, he decides to use his skills to be the lowest budgeted superhero of all."
FOX Sports Boxing,9,65,Two brilliant research scientists have invented a device capable of recording and playing back sensory experiences only to have devastating results when one of them records their own death.
FOX Sports Racing,6.5,156,"This film is a glimpse into the life, love and the unconquerable spirit of the legendary Bruce Lee. From a childhod of rigorous martial arts training, Lee realizes his dream of opening his own kung-fu school in America. Before long, he is discovered by a Hollywood producer and begins a meteroric rise to fame and an all too short reign as one the most charasmatic action heroes in cinema history."
The Great Escape,5,79,"The film follows Kaspar Hauser (Bruno S.), who lived the first seventeen years of his life chained in a tiny cellar with only a toy horse to occupy his time, devoid of all human contact except for a man who wears a black overcoat and top hat who feeds him."
Big Scale Racing,6.5,16,Frank Sinatra plays a tough guy who hooks up with fellow rat packer Dean Martin to open a casino in this western.
Sonic Pinball Party,8.3,19,"A small Bavarian village is renowned for its ""Ruby Glass"" glass blowing works. When the foreman of the works dies suddenly without revealing the secret of the Ruby Glass, the town slides into a deep depression, and the owner of the glassworks becomes obssessed with the lost secret."
Speed Kings,5.5,25,"In 1966, Dieter Dengler was shot down over Laos, captured, and, down to 85 pounds, escaped. Barefoot, surviving monsoons, leeches, and machete-wielding villagers, he was rescued. Now, near 60, living on Mt. Tamalpais, Dengler tells his story: a German lad surviving Allied bombings in World War II, postwar poverty, apprenticed to a smith, beaten regularly. At 18, he emigrates and peels potatoes in the U.S. Air Force. He leaves for California and college, then enlistment in the Navy to learn to fly. A quiet man of sorrows tells his story: war, capture, harrowing conditions, escape, and miraculous rescue. Where did he find the strength; how does he now live with his memories?"
Speed Kings,5.5,238,"One of the world's most acclaimed comedies, MASH focuses on three Korean War Army surgeons brilliantly brought to life by Donald Sutherland, Tom Skerritt and Elliott Gould. Though highly skilled and deeply dedicated, they adopt a hilarious, lunatic lifestyle as an antidote to the tragedies of their Mobile Army Surgical Hospital, and in the process infuriate Army bureaucrats. Robert Duvall, Gary Burghoff and Sally Kellerman co-star as a sanctimonious Major, an other-worldly Corporal, and a self-righteous yet lusty nurse."
V-Rally 3,8,10,"Based on a true story, Mrs. Soffel is set in Pittsburgh near the dawn of the 20th century.  Peter Soffel (Edward Herrmann) is the warden of a top security prison, and his wife Kate (Diane Keaton) often comes by to read the Bible aloud to the inmates, despite her fragile health.  While making her rounds, she makes the acquaintance of the Biddle Brothers, Ed (Mel Gibson) and Jack (Matthew Modine), who are sentenced to death for murder and robbery.  Ed has become something of a celebrity thanks to his letter-writing campaign, in which he appeals in the letter-to-the-editor columns of the popular press to stay the execution of his brother and himself.  His good looks, intelligence, and charm make a strong impression on Kate, whose marriage offers her little excitement.  In time, Kate finds herself falling in love with Ed, and she discovers that she's unexpectedly receptive to his suggestion that she help him escape."
Finding Nemo,7,70,"A secret organisation offers wealthy people a second chance at life. The customer picks out someone they want to be and the organisation surgically alters the customer to look like the intended person, stages the customer's death, gets rid of the intended person and the customer takes on a new life."
Restaurant Empire,7.8,45,"Running from the law after a bank robbery in Mexico, Dad Longworth finds an opportunity to take the stolen gold and leave his partner Rio to be captured. Years later, Rio escapes from the prison where he has been since, and hunts down Dad for revenge. Dad is now a respectable sheriff in California, and has been living in fear of Rio's return."
Brute Force,8.1,463,"Edmond Dantés's life and plans to marry the beautiful Mercedes are shattered when his best friend, Fernand, deceives him. After spending 13 miserable years in prison, Dantés escapes with the help of a fellow inmate and plots his revenge, cleverly insinuating himself into the French nobility."
Sonic Adventure DX: Director's Cut,5,307,Reporter John Klein is plunged into a world of impossible terror and unthinkable chaos when fate draws him to a sleepy West Virginia town whose residents are being visited by a great winged shape that sows hideous nightmares and fevered visions.
Advance Wars 2: Black Hole Rising,9,1057,"When the popular, restless Landon Carter is forced to participate in the school drama production he falls in love with Jamie Sullivan, the daughter of the town's minister. Jamie has a ""to-do"" list for her life and also a very big secret she must keep from Landon."
Wario World,7.1,3,"The everyday struggles of people trying to bridge two cultures, as well as their attempt to find happiness in their new homeland. Tere (Cherrie Pie Picache), mid-forties and single, hosts a dinner for a friend visiting from Manila, Lorna. Invited are their New York City-based friends and former college classmates -- Mike (Christopher De Leon), a newspaper editor in his forties, Gerry (Ricky Davao), an advertising copywriter and closeted gay, and Marissa (Dina Bonnevie)."
Jet Grind Radio,8.5,15,"A seventeen-year-old country boy working in Beijing as a courier has his bicycle stolen, and finds it with a schoolboy his age."
Soldier of Fortune II: Double Helix,5.8,4,"Set in empty junkyards of Winnipeg, Sabu works in a pornography store and we view him as he approaches the end of his quest to sleep with 2000 men (which is eased by the fact that he works at a porno store). For his final conquest, he desires someone special and has chosen the eccentric character Happy to be his 2000th lover. Throughout out all of this, the town in impending doom as a flood of biblical proportions approaches."
RTX Red Rock,5.6,18,"Bibiane is the daughter of a well-known fashion designer who dabbles in modeling when she's not busy helping to run the family business with her brother. But Bibiane has not been especially happy in her work lately, owing in part to an unexpected pregnancy that led her to have an abortion. Bibiane tries drowning her sorrows in alcohol and drugs, and late one night, after several drinks too many, she hits a jaywalker while driving home. The pedestrian staggers away after the accident, and the next morning, Bibiane remembers what happened and is frightened at the prospect that she may have killed someone. When Bibiane reads a newspaper account the next day of a seafood delivery man who died in his kitchen after being struck by a hit-and-run driver, she's convinced she was responsible for the crime. Guiltily attending the man's funeral, Bibiane strikes up a conversation with his son, Evian, and soon the two have become romantically involved, with Bibiane unable to tell Evian her secret."
MotoGP [2003],5,99,"Duke Red has overseen the construction of a massive Ziggurat to extend his power across the whole planet. Tima, a robot-girl built in the image of his deceased daughter, is at the core of these plans. However, after escaping the Duke's clutches in a laboratory fire, she meets and befriends Kenichi, a boy who's traveled to Metropolis with his detective uncle in search of a scientist wanted for organ trafficking. Will her relationship with Kenichi, and the realization of the truth of her existence, change her destiny?"
FOX Sports On-Court Live Basketball,8,71,A psychoanalyst and his family go through profound emotional trauma when their son dies in a scuba diving accident.
Barnyard Bouncin',6,64,College and high school serve as the backdrop for two stories about dysfunction and personal turmoil.
Fury of The Hulk,1,5,"Four young office workers have a bet going to see who can last the longest without going outside. In the maze that is the downtown core of a large city, glass skywalks connect apartment buildings, office towers and shopping malls. Its day 28 of the bet and over the lunch hour, as the office prepares for the company founder's retirement party, things start to seriously unravel."
Two Cities,7.5,43,"Climb aboard for an extraordinary version of Mark Twain's sweeping adventure when Walt Disney presents The Adventures of Huck Finn, starring Elijah Wood (The Lord of the Rings). Directed by Stephen Sommers (The Mummy, The Mummy Returns), it's the unforgettable saga of a mischievous youngster and a runaway slave"
Star Wars Galaxies: An Empire Divided,8,14,"Two couples go to a mutual friends wedding, and end up swapping partners."
Outlaw Volleyball,8,61,"During shopping for Christmas, Frank and Molly run into each other. This fleeting short moment will start to change their lives, when they recognize each other months later in the train home and have a good time together. Although both are married and Frank has two little kids, they meet more and more often, their friendship becoming the most precious thing in their lives."
The Great Escape,5,8,"When Alex enters the lives of the musical Tuttle family, each of the three daughters falls for him. He is charming, good looking and personable. Laurie and Alex seem made for each other and become engaged. When Barney comes into the picture to help Alex with some musical arrangements matters become complicated. He is seen as a challenge by Laurie, who can't believe anyone could be as cynical, and she is more than a match for his gloomy outlook on life."
Disciples II: Servants of the Dark,7,60,"Dave, Sam and Jeff are about to graduate from Holden University with honors in lying, cheating and scheming. The three roommates have proudly scammed their way through the last four years of college and now, during final exams, these big-men-on-campus are about to be busted by the most unlikely dude in school. Self-dubbed Cool Ethan, an ambitious nerd with a bad crush, enters their lives one day and everything begins to unravel."
Downhill Domination,8,104,"A shy bank clerk orders a Russian mail order bride, and finds his life turned upside down."
Finding Nemo,4,7,An old woman helps a young boy resolve his feelings over the death of his mother.
